Customer_ID,Age,Gender,Marital_Status,Account_Balance,Credit_Score,Tenure_Years,Num_Products,Has_Credit_Card,Is_Active_Member,Estimated_Salary,Num_Bank_Visits,Digital_Usage_Score,Customer_Segment,Churn
CUST00060,19,Male,Divorced,65724.01,643.0,8,4,1,1,73279.18,19,0.52,Private Banking,0
CUST00061,37,Female,Divorced,39317.95,666.0,23,2,0,1,112792.76,8,0.89,Private Banking,0
CUST00062,45,Male,Married,65075.01,601.0,16,2,0,1,107778.55,9,0.38,Affluent,1
CUST00063,64,Female,Divorced,5432.07,413.0,23,4,0,0,21330.94,5,0.08,Affluent,1
CUST00064,24,Male,Married,6350.72,715.0,15,2,0,0,57094.0,6,0.99,Mass Market,1
CUST00065,61,Male,Widowed,46265.81,742.0,16,4,1,1,44581.9,15,0.18,Private Banking,0
CUST00066,25,Female,Divorced,55412.61,604.0,14,1,0,0,41708.23,16,0.05,Private Banking,0
CUST00067,64,Female,Single,88893.95,569.0,19,2,0,0,114701.97,0,0.41,Affluent,0
CUST00068,52,Male,Single,11361.4,363.0,25,3,0,1,51141.68,8,0.12,Private Banking,0
CUST00069,31,Female,Divorced,82442.14,346.0,21,4,0,0,81715.89,13,0.98,Private Banking,1
CUST00070,34,Male,Married,21794.69,487.0,6,4,0,1,52108.57,14,0.38,Private Banking,1
CUST00071,53,Female,Single,40014.28,471.0,9,1,1,0,95430.4,3,0.83,Affluent,1
CUST00072,67,Female,Married,32343.64,825.0,28,3,0,1,113674.59,7,0.18,Private Banking,1
CUST00073,57,Male,Divorced,40615.37,731.0,3,3,0,1,63039.72,14,0.14,Private Banking,1
CUST00074,21,Female,Divorced,15899.05,663.0,23,3,1,1,98392.71,3,0.65,Mass Market,0
CUST00075,19,Female,Single,50853.44,585.0,23,4,1,1,127231.12,18,0.91,Private Banking,0
CUST00076,23,Male,Divorced,80362.62,392.0,13,4,0,0,32249.16,2,0.11,Affluent,1
CUST00077,71,Female,Widowed,44711.87,838.0,13,3,1,0,112387.18,7,0.59,Affluent,1
CUST00078,59,Male,Widowed,49570.74,506.0,13,2,0,1,62008.84,1,0.08,Private Banking,0
CUST00079,21,Male,Single,85027.99,359.0,24,3,0,0,35944.49,7,0.81,Mass Market,0
CUST00080,71,Male,Widowed,70899.75,572.0,13,1,0,1,90935.05,7,0.91,Private Banking,0
CUST00081,46,Male,Married,49554.99,781.0,21,3,0,1,49414.1,16,0.63,Private Banking,0
CUST00082,35,Male,Single,26511.87,788.0,19,3,1,0,126777.03,15,0.69,Private Banking,1
CUST00083,43,Female,Single,88607.75,306.0,17,3,1,1,25576.47,15,0.06,Affluent,1
CUST00084,61,Male,Married,58125.02,787.0,14,2,1,1,32824.88,15,0.07,Private Banking,1
CUST00085,51,Male,Widowed,22893.61,449.0,22,3,1,0,87729.5,6,0.18,Affluent,1
CUST00086,27,Female,Widowed,27642.86,321.0,25,3,0,1,96562.43,14,0.27,Mass Market,1
CUST00087,53,Female,Widowed,80510.18,766.0,18,4,0,1,114885.27,16,0.76,Private Banking,1
CUST00088,31,Female,Single,5370.41,775.0,26,3,0,0,53703.89,2,0.44,Affluent,1
CUST00089,48,Male,Single,99217.13,628.0,12,1,1,0,129428.85,0,0.08,Affluent,1
CUST00090,65,Male,Widowed,13904.82,616.0,11,4,0,1,143908.5,7,0.85,Affluent,1
CUST00091,32,Male,Divorced,79810.78,747.0,18,2,0,0,84875.11,6,0.99,Private Banking,1
CUST00092,25,Female,Widowed,40082.76,732.0,18,4,0,0,118869.08,17,0.46,Mass Market,1
CUST00093,31,Male,Married,49729.4,790.0,19,2,1,0,88230.29,4,0.51,Affluent,1
CUST00094,40,Female,Single,88184.41,604.0,1,2,1,0,29030.71,14,0.08,Private Banking,1
CUST00095,74,Male,Married,41878.21,832.0,28,1,1,0,62394.5,6,0.38,Affluent,1
CUST00096,57,Female,Married,54211.88,848.0,28,3,1,0,31373.27,9,0.37,Affluent,0
CUST00097,38,Male,Single,5880.67,364.0,20,1,0,1,148554.29,15,0.97,Private Banking,1
CUST00098,33,Male,Divorced,1232.4,767.0,2,4,0,1,49773.37,1,0.66,Affluent,1
CUST00099,62,Male,Widowed,25235.19,575.0,9,2,0,0,102667.05,17,0.78,Affluent,1
CUST00100,35,Female,Married,68377.73,513.0,4,4,0,0,56964.86,14,0.13,Private Banking,1
CUST00101,64,Female,Single,13005.22,637.0,11,2,1,0,104922.01,18,0.42,Mass Market,1
CUST00102,70,Male,Married,12262.43,331.0,28,4,0,1,47352.22,19,0.19,Mass Market,0
CUST00103,41,Male,Widowed,41685.1,579.0,6,2,0,1,122085.11,13,0.86,Mass Market,0
CUST00104,43,Male,Divorced,65135.87,779.0,8,1,1,1,34405.51,1,0.15,Mass Market,0
CUST00105,42,Female,Divorced,71495.13,417.0,1,2,0,1,136369.55,17,0.44,Private Banking,1
CUST00106,62,Male,Divorced,18666.62,535.0,24,3,0,0,129254.82,8,0.05,Private Banking,1
CUST00107,58,Male,Single,8879.23,817.0,9,1,1,0,108244.95,0,0.63,Mass Market,1
CUST00108,46,Male,Single,94099.31,536.0,5,3,1,0,28763.9,15,0.48,Private Banking,1
CUST00109,32,Male,Divorced,26805.97,497.0,11,4,0,0,47113.97,11,0.5,Mass Market,1
CUST00110,62,Female,Widowed,85481.3,542.0,5,4,0,0,131717.01,11,0.1,Affluent,1
CUST00111,18,Female,Widowed,86485.65,586.0,26,2,0,1,35856.68,18,0.51,Affluent,0
CUST00112,42,Male,Single,77479.74,648.0,2,2,0,0,40271.17,9,0.56,Affluent,1
CUST00113,24,Male,Divorced,17714.53,740.0,29,4,0,1,90720.43,19,0.96,Mass Market,0
CUST00114,26,Female,Widowed,82358.34,549.0,9,1,1,0,55643.07,4,0.03,Affluent,1
CUST00115,41,Female,Widowed,77155.81,750.0,28,3,0,0,48869.84,2,0.92,Mass Market,0
CUST00116,18,Male,Widowed,60075.58,594.0,8,4,0,1,94855.75,8,0.48,Private Banking,0
CUST00117,61,Female,Single,34383.0,486.0,19,1,0,1,68434.97,14,0.21,Affluent,1
CUST00118,25,Female,Divorced,26988.35,662.0,4,3,0,0,38272.79,13,0.67,Affluent,1
CUST00119,41,Male,Married,13067.03,695.0,2,2,0,1,89530.99,10,0.52,Affluent,1
CUST00120,28,Female,Divorced,51465.95,607.0,4,1,0,1,70311.61,12,0.23,Private Banking,1
CUST00121,68,Female,Divorced,58940.83,331.0,7,1,0,1,115487.18,6,0.63,Mass Market,1
CUST00122,34,Male,Single,36574.56,393.0,7,4,0,0,33358.21,1,0.47,Affluent,1
CUST00123,25,Male,Widowed,48060.55,457.0,13,3,0,0,100679.72,2,0.69,Affluent,1
CUST00124,52,Female,Widowed,36987.93,455.0,23,4,1,0,76744.13,19,0.69,Mass Market,1
CUST00125,52,Male,Single,64459.6,670.0,21,2,1,1,72788.04,7,0.47,Affluent,0
CUST00126,50,Female,Single,90224.66,310.0,16,2,0,1,50197.4,0,0.39,Affluent,0
CUST00127,22,Male,Single,17228.11,716.0,10,3,0,0,23955.38,3,0.06,Affluent,1
CUST00128,59,Female,Single,38759.47,446.0,25,3,0,0,130199.6,12,0.49,Mass Market,1
CUST00129,56,Male,Single,14945.99,471.0,15,3,0,1,62433.31,13,0.24,Affluent,1
CUST00130,58,Female,Married,62869.43,590.0,27,4,0,0,108541.84,8,0.05,Private Banking,1
CUST00131,45,Female,Divorced,73158.18,419.0,5,3,0,0,143186.36,2,0.33,Mass Market,1
CUST00132,24,Female,Divorced,93259.36,786.0,27,3,1,1,93448.74,13,0.09,Affluent,0
CUST00133,26,Male,Divorced,28608.32,347.0,10,4,0,1,71629.1,3,0.58,Private Banking,1
CUST00134,25,Male,Widowed,95070.91,544.0,9,2,1,0,54875.56,16,0.5,Private Banking,1
CUST00135,29,Female,Married,7263.0,767.0,22,2,1,1,141425.69,14,0.79,Private Banking,1
CUST00136,51,Female,Divorced,60698.37,639.0,29,1,1,1,108669.99,11,0.27,Private Banking,1
CUST00137,50,Male,Widowed,6656.14,461.0,8,2,1,0,106486.58,13,0.37,Private Banking,1
CUST00138,65,Male,Married,89483.64,531.0,27,3,1,1,75400.58,18,0.69,Affluent,1
CUST00139,72,Male,Married,53451.1,689.0,23,2,1,1,129856.33,9,0.99,Private Banking,1
CUST00140,40,Male,Widowed,67265.49,835.0,26,4,1,0,112777.38,4,0.9,Mass Market,1
CUST00141,41,Male,Married,83325.82,791.0,27,2,1,1,56813.83,16,0.52,Affluent,1
CUST00142,54,Male,Widowed,15880.75,488.0,23,2,1,1,97945.23,16,0.68,Affluent,0
CUST00143,52,Female,Divorced,4820.56,849.0,14,1,0,0,75925.21,2,0.53,Private Banking,1
CUST00144,61,Male,Widowed,88009.23,302.0,6,1,0,1,20856.72,15,0.43,Private Banking,1
CUST00145,57,Female,Married,32178.39,315.0,17,3,1,0,124991.05,8,0.6,Affluent,1
CUST00146,39,Male,Divorced,13768.91,753.0,0,4,1,0,35967.95,16,0.39,Mass Market,1
CUST00147,44,Male,Divorced,47377.66,410.0,14,3,1,1,86294.09,19,0.28,Affluent,1
CUST00148,52,Female,Single,60232.3,333.0,1,4,0,0,63709.41,11,0.71,Affluent,1
CUST00149,18,Female,Single,4066.09,430.0,21,4,0,0,64471.58,1,0.87,Private Banking,1
CUST00150,52,Male,Married,28214.67,534.0,28,1,1,1,82057.43,19,0.29,Mass Market,1
CUST00151,54,Female,Widowed,4247.19,702.0,1,2,1,0,149613.0,15,0.71,Private Banking,1
CUST00152,64,Female,Widowed,42613.2,643.0,9,2,1,0,73089.36,5,0.43,Private Banking,1
CUST00153,31,Female,Married,89614.9,431.0,19,1,1,1,43702.8,1,0.3,Private Banking,1
CUST00154,20,Female,Divorced,98282.59,577.0,14,3,1,0,99768.82,8,0.62,Private Banking,0
CUST00155,18,Male,Married,64067.71,809.0,9,2,1,0,50717.4,4,0.94,Mass Market,1
CUST00156,22,Female,Married,17002.13,748.0,18,3,0,1,33721.39,17,0.35,Private Banking,0
CUST00157,43,Male,Divorced,90679.09,478.0,21,2,0,1,26522.64,17,0.76,Private Banking,0
CUST00158,72,Male,Widowed,52108.53,840.0,27,3,0,0,22974.57,9,0.31,Mass Market,0
CUST00159,31,Male,Married,16221.18,690.0,27,4,1,0,76051.4,9,0.8,Affluent,1
CUST00160,56,Male,Widowed,92250.94,334.0,12,4,1,0,75474.35,9,0.76,Private Banking,1
CUST00161,44,Female,Married,75989.44,319.0,29,2,0,1,44120.9,17,0.77,Affluent,0
CUST00162,26,Female,Divorced,73438.82,393.0,23,3,0,0,121922.48,15,1.0,Private Banking,1
CUST00163,32,Male,Divorced,71208.89,700.0,10,3,1,1,36805.18,5,0.14,Private Banking,0
CUST00164,32,Male,Single,20833.64,401.0,21,4,0,0,138991.24,11,0.39,Mass Market,1
CUST00165,43,Male,Divorced,21889.66,581.0,1,3,0,0,96384.88,3,0.63,Mass Market,1
CUST00166,59,Male,Single,69141.01,351.0,20,1,0,1,23590.13,19,0.59,Affluent,0
CUST00167,30,Female,Married,22752.55,806.0,26,3,0,0,145186.44,15,0.78,Private Banking,1
CUST00168,68,Male,Widowed,44428.5,489.0,12,4,1,1,60032.36,10,0.05,Mass Market,0
CUST00169,49,Female,Divorced,78418.18,799.0,21,1,1,1,78496.74,0,0.71,Private Banking,1
CUST00170,56,Male,Divorced,78611.3,820.0,24,1,1,0,56954.93,4,0.74,Private Banking,0
CUST00171,66,Male,Divorced,45872.92,303.0,21,3,1,0,114694.77,16,0.06,Affluent,1
CUST00172,69,Male,Married,79426.8,555.0,25,4,0,1,83138.43,10,0.54,Private Banking,1
CUST00173,49,Male,Single,84023.56,314.0,20,4,0,1,37208.48,13,0.24,Mass Market,1
CUST00174,21,Female,Married,65822.8,800.0,0,4,0,1,33546.51,8,0.8,Affluent,1
CUST00175,47,Female,Widowed,23614.16,585.0,25,1,1,0,114298.8,9,0.05,Mass Market,1
CUST00176,54,Female,Married,28127.17,341.0,4,4,1,0,50820.58,3,0.15,Affluent,1
CUST00177,40,Male,Widowed,32169.27,361.0,20,1,1,0,37913.14,1,0.1,Affluent,1
CUST00178,56,Male,Divorced,12563.61,511.0,21,1,1,0,84925.59,5,0.07,Private Banking,1
CUST00179,62,Female,Widowed,28042.8,817.0,6,2,0,1,124359.49,2,0.6,Affluent,1
CUST00180,32,Female,Widowed,21742.4,681.0,12,3,1,1,56241.76,12,0.87,Affluent,0
CUST00181,60,Male,Single,46077.55,777.0,12,4,0,1,55936.11,11,0.51,Private Banking,0
CUST00182,46,Male,Widowed,90935.32,502.0,19,1,0,0,128404.56,17,0.21,Affluent,1
CUST00183,53,Female,Widowed,11343.55,324.0,22,3,0,0,39218.39,5,0.34,Affluent,1
CUST00184,30,Male,Married,72306.52,836.0,20,1,1,0,100174.59,9,0.36,Mass Market,0
CUST00185,49,Male,Divorced,69041.02,309.0,5,3,1,1,144151.75,5,0.45,Mass Market,1
CUST00186,24,Female,Married,10479.67,821.0,19,1,0,1,129369.41,4,0.42,Private Banking,0
CUST00187,68,Male,Married,92334.67,503.0,11,4,0,1,28035.98,14,0.67,Affluent,1
CUST00188,39,Female,Divorced,57278.75,306.0,7,2,1,1,61588.41,14,0.34,Private Banking,1
CUST00189,45,Male,Divorced,37008.83,679.0,8,2,1,0,38508.68,11,0.66,Private Banking,1
CUST00190,19,Female,Widowed,75897.32,839.0,17,2,1,0,143401.28,8,0.55,Private Banking,0
CUST00191,59,Male,Widowed,26479.18,831.0,27,1,1,0,148172.4,12,0.05,Mass Market,1
CUST00192,62,Female,Single,69657.47,389.0,10,3,0,1,50549.09,15,0.92,Private Banking,1
CUST00193,74,Female,Married,4931.41,400.0,19,4,0,1,107060.88,1,0.18,Affluent,1
CUST00194,70,Female,Divorced,84101.4,611.0,10,4,0,1,129412.13,16,0.45,Mass Market,1
CUST00195,23,Female,Widowed,45368.91,651.0,23,1,0,1,50378.44,8,0.95,Mass Market,0
CUST00196,45,Male,Divorced,64032.6,707.0,23,2,0,0,44398.48,18,0.25,Mass Market,1
CUST00197,45,Male,Widowed,22902.54,400.0,14,1,0,0,21457.43,5,0.02,Affluent,1
CUST00198,61,Female,Single,68030.3,827.0,8,3,1,1,73555.12,3,0.49,Private Banking,1
CUST00199,61,Male,Single,77451.79,651.0,2,2,0,0,136926.87,14,0.22,Private Banking,1
CUST00200,37,Male,Divorced,47848.11,766.0,16,1,1,1,137387.35,17,0.58,Mass Market,0
CUST00201,47,Male,Single,62154.97,597.0,24,3,1,1,36606.61,11,0.82,Mass Market,0
CUST00202,28,Male,Divorced,46176.27,528.0,16,2,0,1,46565.82,11,0.51,Private Banking,1
CUST00203,72,Male,Widowed,89515.05,837.0,2,4,1,1,73046.15,19,0.65,Affluent,1
CUST00204,45,Female,Married,50289.05,620.0,18,3,0,1,121481.19,16,0.67,Mass Market,0
CUST00205,42,Female,Single,84339.06,777.0,8,4,0,0,99540.69,6,0.82,Mass Market,1
CUST00206,56,Female,Widowed,80333.85,824.0,16,3,1,0,86800.47,19,0.69,Affluent,1
CUST00207,50,Female,Married,41639.98,671.0,22,2,1,0,96951.14,4,0.98,Mass Market,1
CUST00208,18,Male,Married,23778.36,602.0,17,1,1,0,32505.96,11,0.46,Affluent,1
CUST00209,74,Male,Married,41202.13,302.0,22,1,1,0,82096.27,16,0.05,Private Banking,1
CUST00210,44,Female,Widowed,82795.52,322.0,14,1,1,0,148968.23,1,0.39,Private Banking,1
CUST00211,74,Male,Widowed,23535.62,410.0,0,1,1,1,31498.0,3,0.84,Mass Market,1
CUST00212,69,Male,Divorced,52919.2,402.0,28,3,1,1,87502.07,1,0.13,Private Banking,1
CUST00213,30,Female,Married,80803.58,440.0,25,1,1,0,58434.4,13,0.74,Affluent,1
CUST00214,58,Male,Married,35994.27,468.0,9,1,1,1,90188.73,13,0.54,Mass Market,1
CUST00215,20,Female,Married,64578.75,498.0,7,3,0,1,94596.44,12,0.9,Affluent,1
CUST00216,56,Female,Divorced,25317.53,531.0,9,3,0,1,95071.48,16,0.73,Private Banking,0
CUST00217,23,Male,Married,11818.67,354.0,28,2,1,0,130787.14,16,0.66,Private Banking,1
CUST00218,25,Male,Widowed,79644.04,323.0,25,3,1,0,70667.16,17,0.89,Private Banking,1
CUST00219,44,Female,Married,10797.89,671.0,1,4,1,0,87126.04,2,0.91,Mass Market,1
CUST00220,26,Female,Single,27866.76,596.0,18,2,0,1,21420.69,15,0.38,Affluent,1
CUST00221,54,Male,Widowed,85655.83,544.0,13,2,0,0,122641.58,18,0.93,Mass Market,1
CUST00222,50,Female,Divorced,35300.46,649.0,7,1,1,0,53733.4,5,0.05,Private Banking,1
CUST00223,68,Female,Married,97331.49,755.0,18,1,1,0,126152.15,5,0.76,Private Banking,1
CUST00224,59,Female,Single,97993.7,535.0,0,4,1,1,54533.03,17,0.34,Mass Market,1
CUST00225,61,Male,Divorced,27559.33,653.0,15,1,1,0,21402.5,8,0.49,Affluent,1
CUST00226,41,Female,Divorced,5056.84,824.0,24,3,0,0,40128.07,17,0.84,Private Banking,0
CUST00227,32,Male,Widowed,70801.27,762.0,23,3,0,0,148138.78,5,0.64,Affluent,0
CUST00228,71,Female,Divorced,45647.66,534.0,14,1,1,1,61574.16,8,0.46,Private Banking,1
CUST00229,49,Male,Divorced,10974.53,655.0,19,1,1,0,34147.11,17,0.16,Mass Market,1
CUST00230,49,Female,Divorced,71044.76,397.0,23,3,0,0,35438.64,15,0.94,Private Banking,0
CUST00231,41,Male,Divorced,4086.32,608.0,29,2,0,1,60344.55,12,0.33,Mass Market,0
CUST00232,58,Male,Married,87149.47,840.0,4,4,1,0,24893.86,10,0.1,Mass Market,1
CUST00233,69,Male,Married,14726.6,585.0,2,4,1,0,86493.52,7,0.56,Mass Market,1
CUST00234,66,Female,Married,13603.88,810.0,16,2,0,0,47786.32,16,0.41,Private Banking,1
CUST00235,66,Female,Married,18391.56,524.0,28,4,0,0,87510.38,8,0.59,Affluent,1
CUST00236,69,Female,Single,96066.37,849.0,9,1,0,1,38299.35,5,0.23,Affluent,1
CUST00237,29,Male,Married,69623.77,619.0,4,1,1,1,75881.44,0,0.38,Private Banking,1
CUST00238,56,Female,Divorced,80335.78,323.0,10,1,0,1,97729.19,0,0.97,Mass Market,1
CUST00239,19,Male,Married,40365.86,623.0,5,4,1,0,28059.99,12,0.94,Affluent,1
CUST00240,20,Female,Married,34294.96,451.0,3,2,0,0,71837.41,6,0.86,Affluent,1
CUST00241,66,Male,Widowed,24213.92,318.0,6,1,0,0,59328.1,9,0.78,Private Banking,1
CUST00242,54,Male,Divorced,48584.15,751.0,18,2,0,0,51246.78,17,0.16,Mass Market,1
CUST00243,66,Male,Married,55631.04,452.0,6,3,1,1,98589.5,5,0.47,Affluent,0
CUST00244,73,Female,Married,63545.71,738.0,13,3,1,0,96510.46,12,0.73,Private Banking,1
CUST00245,34,Female,Married,26454.73,459.0,16,3,0,1,101990.97,4,0.26,Private Banking,1
CUST00246,66,Female,Single,94916.75,407.0,22,4,1,0,40654.75,14,0.03,Mass Market,1
CUST00247,19,Male,Married,17806.09,836.0,16,4,0,0,57142.2,11,0.42,Private Banking,0
CUST00248,19,Male,Widowed,96599.66,499.0,12,1,1,1,47258.24,10,0.43,Mass Market,1
CUST00249,45,Female,Divorced,2470.76,631.0,26,3,0,0,90265.47,7,0.07,Affluent,1
CUST00250,71,Female,Divorced,48631.44,635.0,0,2,0,0,79938.54,4,0.32,Private Banking,1
CUST00251,40,Female,Married,34003.42,608.0,1,4,1,0,62938.19,7,0.92,Affluent,1
CUST00252,54,Male,Married,45463.22,803.0,17,2,0,0,122181.93,4,0.25,Mass Market,1
CUST00253,49,Male,Married,57495.79,671.0,3,2,1,1,32216.59,9,0.57,Mass Market,0
CUST00254,50,Male,Divorced,44123.33,522.0,12,1,0,0,146736.57,14,0.49,Mass Market,1
CUST00255,18,Male,Divorced,42069.84,774.0,0,1,1,1,35150.73,5,0.86,Private Banking,1
CUST00256,36,Male,Single,73539.62,400.0,3,2,0,1,120499.21,17,0.65,Private Banking,0
CUST00257,19,Female,Widowed,68901.75,599.0,1,2,0,0,67869.92,2,0.16,Private Banking,1
CUST00258,70,Male,Single,83493.86,823.0,3,2,1,0,132484.09,8,0.14,Affluent,1
CUST00259,61,Male,Widowed,25745.94,644.0,15,2,0,1,29642.09,9,0.56,Affluent,0
CUST00260,43,Male,Single,61343.32,749.0,3,3,1,1,68713.82,6,0.05,Private Banking,0
CUST00261,49,Male,Divorced,58934.28,659.0,24,2,0,0,63607.64,18,0.39,Affluent,0
CUST00262,23,Male,Single,37604.04,762.0,8,4,0,0,149110.41,1,0.4,Mass Market,1
CUST00263,49,Female,Widowed,49119.7,819.0,16,1,0,1,148121.37,7,0.2,Private Banking,1
CUST00264,72,Male,Married,32064.43,450.0,20,4,0,0,44674.51,6,0.3,Mass Market,1
CUST00265,21,Male,Widowed,15042.6,393.0,22,1,1,0,101893.1,4,0.33,Mass Market,0
CUST00266,72,Male,Married,22166.32,566.0,19,1,1,1,89617.52,3,0.01,Mass Market,1
CUST00267,28,Female,Divorced,11445.85,686.0,27,1,1,0,40068.55,10,0.81,Affluent,0
CUST00268,73,Female,Widowed,68623.89,425.0,20,4,0,1,41811.36,9,0.96,Mass Market,0
CUST00269,34,Female,Single,66412.01,302.0,1,1,1,0,148602.72,0,0.29,Affluent,1
CUST00270,55,Male,Widowed,95110.03,489.0,2,2,1,1,78854.9,3,0.11,Mass Market,1
CUST00271,41,Female,Married,73238.16,833.0,22,2,0,1,36354.17,5,0.95,Private Banking,0
